time,proto,src_ip,dst_ip,size,geo_src,geo_dst,summary
06:49:10,TCP,10.152.220.219,20.207.73.82,74,,,Ether / IP / TCP 10.152.220.219:60506 > 20.207.73.82:https S
06:49:10,TCP,20.207.73.82,10.152.220.219,74,,,Ether / IP / TCP 20.207.73.82:https > 10.152.220.219:60506 SA
06:49:10,TCP,10.152.220.219,20.207.73.82,66,,,Ether / IP / TCP 10.152.220.219:60506 > 20.207.73.82:https A
06:49:10,TCP,10.152.220.219,20.207.73.82,583,,,Ether / IP / TCP 10.152.220.219:60506 > 20.207.73.82:https PA / Raw
06:49:10,TCP,20.207.73.82,10.152.220.219,551,,,Ether / IP / TCP 20.207.73.82:https > 10.152.220.219:60506 PA / Raw
06:49:10,TCP,10.152.220.219,20.207.73.82,78,,,Ether / IP / TCP 10.152.220.219:60506 > 20.207.73.82:https A
06:49:10,TCP,20.207.73.82,10.152.220.219,1372,,,Ether / IP / TCP 20.207.73.82:https > 10.152.220.219:60506 A / Raw
06:49:10,TCP,10.152.220.219,20.207.73.82,78,,,Ether / IP / TCP 10.152.220.219:60506 > 20.207.73.82:https A
06:49:10,TCP,20.207.73.82,10.152.220.219,1372,,,Ether / IP / TCP 20.207.73.82:https > 10.152.220.219:60506 A / Raw
06:49:10,TCP,10.152.220.219,20.207.73.82,66,,,Ether / IP / TCP 10.152.220.219:60506 > 20.207.73.82:https A
06:49:10,TCP,10.152.220.219,20.207.73.82,130,,,Ether / IP / TCP 10.152.220.219:60506 > 20.207.73.82:https PA / Raw
06:49:10,TCP,10.152.220.219,20.207.73.82,188,,,Ether / IP / TCP 10.152.220.219:60506 > 20.207.73.82:https PA / Raw
06:49:10,TCP,20.207.73.82,10.152.220.219,224,,,Ether / IP / TCP 20.207.73.82:https > 10.152.220.219:60506 PA / Raw
06:49:10,TCP,20.207.73.82,10.152.220.219,130,,,Ether / IP / TCP 20.207.73.82:https > 10.152.220.219:60506 PA / Raw
06:49:10,TCP,10.152.220.219,20.207.73.82,66,,,Ether / IP / TCP 10.152.220.219:60506 > 20.207.73.82:https A
06:49:10,TCP,20.207.73.82,10.152.220.219,5057,,,Ether / IP / TCP 20.207.73.82:https > 10.152.220.219:60506 PA / Raw
06:49:10,TCP,10.152.220.219,20.207.73.82,66,,,Ether / IP / TCP 10.152.220.219:60506 > 20.207.73.82:https A
06:49:10,TCP,10.152.220.219,20.207.73.82,123,,,Ether / IP / TCP 10.152.220.219:60506 > 20.207.73.82:https PA / Raw
06:49:10,TCP,20.207.73.82,10.152.220.219,1372,,,Ether / IP / TCP 20.207.73.82:https > 10.152.220.219:60506 A / Raw
06:49:10,TCP,20.207.73.82,10.152.220.219,1372,,,Ether / IP / TCP 20.207.73.82:https > 10.152.220.219:60506 PA / Raw
06:49:10,TCP,10.152.220.219,20.207.73.82,66,,,Ether / IP / TCP 10.152.220.219:60506 > 20.207.73.82:https A
06:49:10,TCP,20.207.73.82,10.152.220.219,2678,,,Ether / IP / TCP 20.207.73.82:https > 10.152.220.219:60506 PA / Raw
06:49:10,TCP,20.207.73.82,10.152.220.219,2678,,,Ether / IP / TCP 20.207.73.82:https > 10.152.220.219:60506 PA / Raw
06:49:10,TCP,20.207.73.82,10.152.220.219,2678,,,Ether / IP / TCP 20.207.73.82:https > 10.152.220.219:60506 PA / Raw
06:49:10,TCP,10.152.220.219,20.207.73.82,66,,,Ether / IP / TCP 10.152.220.219:60506 > 20.207.73.82:https A
06:49:10,TCP,20.207.73.82,10.152.220.219,1372,,,Ether / IP / TCP 20.207.73.82:https > 10.152.220.219:60506 A / Raw
06:49:10,TCP,10.152.220.219,20.207.73.82,78,,,Ether / IP / TCP 10.152.220.219:60506 > 20.207.73.82:https A
06:49:10,TCP,20.207.73.82,10.152.220.219,1372,,,Ether / IP / TCP 20.207.73.82:https > 10.152.220.219:60506 A / Raw
06:49:10,TCP,10.152.220.219,20.207.73.82,78,,,Ether / IP / TCP 10.152.220.219:60506 > 20.207.73.82:https A
06:49:11,TCP,20.207.73.82,10.152.220.219,1372,,,Ether / IP / TCP 20.207.73.82:https > 10.152.220.219:60506 A / Raw
06:49:11,TCP,10.152.220.219,20.207.73.82,78,,,Ether / IP / TCP 10.152.220.219:60506 > 20.207.73.82:https A
06:49:11,TCP,20.207.73.82,10.152.220.219,1372,,,Ether / IP / TCP 20.207.73.82:https > 10.152.220.219:60506 A / Raw
06:49:11,TCP,10.152.220.219,20.207.73.82,78,,,Ether / IP / TCP 10.152.220.219:60506 > 20.207.73.82:https A
06:49:11,TCP,20.207.73.82,10.152.220.219,1372,,,Ether / IP / TCP 20.207.73.82:https > 10.152.220.219:60506 A / Raw
06:49:11,TCP,10.152.220.219,20.207.73.82,78,,,Ether / IP / TCP 10.152.220.219:60506 > 20.207.73.82:https A
